vid,japanese,reading,meaning,type,category,subcategory,level,samplesentence,sentencehiragana,sentencemeaning
v001,私,わたし,I,noun,self_introduction,～です,1,わたしは学生です。,わたしは がくせいです。,I am a student.
v002,～です,～です,to be,particle,self_introduction,～です,1,これは私の本です。,これは わたしの ほんです。,This is my book.
v003,～さん,～さん,Mr.,honorific,self_introduction,～です,1,田中さんは先生です。,たなかさんは せんせいです。,Mr./Ms. Tanaka is a teacher.
v004,～ちゃん,～ちゃん,affectionate/diminutive honorific suffix,honorific,self_introduction,～です,1,さくらちゃんは私の友達です。,さくらちゃんは わたしの ともだちです。,Sakura is my friend.
v005,あなた,あなた,you,pronoun,self_introduction,～です,1,あなたは元気ですか。,あなたは げんきですか。,Are you well?
v006,彼,かれ,he,noun,self_introduction,～です,1,彼は私の友達です。,かれは わたしの ともだちです。,He is my friend.
v007,彼女,かのじょ,she,noun,self_introduction,～です,1,彼女は学生です。,かのじょは がくせいです。,She is a student.
v008,お名前,おなまえ,name,noun,self_introduction,～です,1,お名前は何ですか。,おなまえは なんですか。,What is your name?
v009,はい,はい,yes,expression,self_introduction,～です,1,"「これはあなたの本ですか。」
「はい、そうです。」","「これは あなたの ほんですか。」
「はい、そうです。」","“Is this your book?” 
“Yes, that's right.”"
v010,ええ,ええ,yes,expression,self_introduction,～です,1,"「田中さんは先生ですか。」
「ええ、そうです。」","「たなかさんは せんせいですか。」
「ええ、そうです。」","“Is Tanaka a teacher?” 
“Yes, that's right.”"
v011,いいえ,いいえ,no,expression,self_introduction,～です,1,"「あなたは学生ですか。」
「いいえ、違います。」","「あなたは がくせいですか。」
「いいえ、ちがいます。」","“Are you a student?” 
“No, I'm not.”"
v012,そうです,そうです,that's right,expression,self_introduction,～です,1,はい、そうです。,はい、そうです。,"Yes, that's right."
v013,違います,ちがいます,to be different,expression,self_introduction,～です,1,いいえ、違います。,いいえ、ちがいます。,"No, that's not right."
v014,おはよう,おはよう,good morning,greeting,self_introduction,おはよう,1,おはよう。今日も元気ですか。,おはよう。きょうも げんきですか。,Good morning. Are you well today?
v015,こんにちは,こんにちは,hello,greeting,self_introduction,おはよう,1,こんにちは。今日はいい天気ですね。,こんにちは。きょうは いい てんきですね。,"Hello. It's nice weather today, isn't it?"
v016,こんばんは,こんばんは,good evening,greeting,self_introduction,おはよう,1,こんばんは。今日は寒いですね。,こんばんは。きょうは さむいですね。,"Good evening. It's cold today, isn't it?"
v017,さようなら,さようなら,goodbye,greeting,self_introduction,おはよう,1,さようなら。また明日。,さようなら。また あした。,Goodbye. See you tomorrow.
v018,"じゃあ, また","じゃあ, また",see you,greeting,self_introduction,おはよう,1,じゃあ、また明日。,じゃあ、また あした。,"Well then, see you tomorrow."
v019,おやすみなさい,おやすみなさい,good night,greeting,self_introduction,おはよう,1,今日は疲れました。おやすみなさい。,きょうは つかれました。おやすみなさい。,I'm tired today. Good night.
v020,ありがとう,ありがとう,thank you,expression,self_introduction,おはよう,1,ありがとう。いつもありがとう。,ありがとう。いつも ありがとう。,Thank you. Thank you always.
v021,どういたしまして,どういたしまして,you're welcome,expression,self_introduction,おはよう,1,"「ありがとう。」
「どういたしまして。」","「ありがとう。」
「どういたしまして。」","“Thank you.” 
“You're welcome.”"
v022,どうぞ,どうぞ,please,greeting,self_introduction,おはよう,1,これはあなたの本です。どうぞ。,これは あなたの ほんです。どうぞ。,This is your book. Here you go.
v023,どうも,どうも,thanks,greeting,self_introduction,おはよう,1,どうも、ありがとう。,どうも、ありがとう。,Thank you very much.
